Section #,Station (m),MPD (mm),Latitude,Longitude
1,0.0 to 10.0,1.49,51.9409648079798 N,0.274277107777778 W
2,10.0 to 20.0,1.59,51.9409638755556 N,0.274132423611111 W
3,20.0 to 30.0,1.33,51.9409527598611 N,0.273979369652778 W
4,30.0 to 40.0,0.98,51.9409327911111 N,0.273839171111111 W
5,40.0 to 50.0,0.97,51.9409065567677 N,0.273701446868687 W
6,50.0 to 60.0,1.18,51.9408791366667 N,0.273562148888889 W
7,60.0 to 70.0,1.32,51.9408579792063 N,0.273419644761905 W
8,70.0 to 80.0,0.91,51.9408401234074 N,0.273277984740741 W
9,80.0 to 90.0,1.11,51.9408187426797 N,0.273136764640523 W
10,90.0 to 100.0,1.29,51.9407948959477 N,0.272997471111111 W
11,100.0 to 110.0,1.20,51.9407711622222 N,0.272857893703704 W
12,110.0 to 120.0,1.33,51.9407466379532 N,0.272719690175439 W
13,120.0 to 130.0,1.07,51.9407229277778 N,0.272581711637427 W
14,130.0 to 140.0,0.91,51.9406992173457 N,0.272439174506173 W
15,140.0 to 150.0,0.92,51.9406763682456 N,0.272296984502924 W
16,150.0 to 160.0,1.07,51.9406568513889 N,0.272155295833333 W
17,160.0 to 170.0,1.17,51.9406395802222 N,0.272012700444444 W
18,170.0 to 180.0,1.08,51.9406233977778 N,0.271871082592593 W
19,180.0 to 190.0,1.08,51.9406070079894 N,0.271728748095238 W
20,190.0 to 200.0,1.16,51.9405910407222 N,0.271587673277778 W
21,200.0 to 210.0,1.01,51.9405740584444 N,0.271443436222222 W
22,210.0 to 220.0,1.01,51.9405565438889 N,0.271301229222222 W
23,220.0 to 230.0,1.20,51.9405375960317 N,0.27115813031746 W
24,230.0 to 240.0,0.97,51.9405184742857 N,0.271016412857143 W
25,240.0 to 250.0,0.99,51.9404997984127 N,0.270875373333333 W
26,250.0 to 260.0,1.19,51.94048015 N,0.27073341 W
27,260.0 to 270.0,1.07,51.9404596198485 N,0.27059195979798 W
28,270.0 to 280.0,1.14,51.9404382294444 N,0.270451099646465 W
29,280.0 to 290.0,1.17,51.9404135998485 N,0.27031082530303 W
30,290.0 to 300.0,0.75,51.9403851570707 N,0.270171688181818 W
31,300.0 to 310.0,0.86,51.9403556350794 N,0.270035683862434 W
32,310.0 to 320.0,1.03,51.9403247077778 N,0.269899795151515 W
33,320.0 to 330.0,0.94,51.9402927820707 N,0.269761856212121 W
34,330.0 to 340.0,0.90,51.9402613944444 N,0.269625690454545 W
35,340.0 to 350.0,0.70,51.9402304506878 N,0.269490591216931 W
36,350.0 to 360.0,0.88,51.9402000047475 N,0.269354458787879 W
37,360.0 to 370.0,0.60,51.9401713055556 N,0.269213935714286 W
38,370.0 to 380.0,0.78,51.9401475135354 N,0.269072768484848 W
39,380.0 to 390.0,0.93,51.9401308948485 N,0.268930832020202 W
40,390.0 to 400.0,0.84,51.9401194034783 N,0.268789526183575 W
41,400.0 to 410.0,0.68,51.940111908744 N,0.268644283091787 W
